id,source_type,source_name,priority,status,origin,url,topic,source_query,card_path,summary_path,notes
REPO001,repository,PrayusShrestha/crop-price-prediction,very_high,seed,seed,https://github.com/PrayusShrestha/crop-price-prediction,Corn futures price prediction with weather and commodity data.,crop price prediction corn futures weather machine learning,source_cards/repositories/repo001.md,,
REPO002,repository,squeeze-team/AgriJedi,high,seed,seed,https://github.com/squeeze-team/AgriJedi,"Agricultural AI agent combining satellite, weather, yield and market signals.",AgriJedi agricultural AI satellite weather commodity signals,source_cards/repositories/repo002.md,,
REPO003,repository,mindymallory/PriceAnalysis,very_high,seed,seed,https://github.com/mindymallory/PriceAnalysis,Fundamental commodity price analysis materials.,Mindy Mallory PriceAnalysis commodity prices basis ethanol storage,source_cards/repositories/repo003.md,,
REPO004,repository,mindymallory/RollFutures,very_high,seed,seed,https://github.com/mindymallory/RollFutures,Construction of nearby and rolled futures series.,RollFutures volume based roll futures contracts,source_cards/repositories/repo004.md,,
REPO005,repository,NDelventhal/cot_reports,very_high,seed,seed,https://github.com/NDelventhal/cot_reports,CFTC Commitments of Traders data retrieval.,CFTC COT reports python legacy supplemental disaggregated,source_cards/repositories/repo005.md,,
REPO006,repository,YavuzAkbay/Ornstein-Uhlenbeck,medium,seed,seed,https://github.com/YavuzAkbay/Ornstein-Uhlenbeck,Ornstein-Uhlenbeck mean reversion models on commodities.,Ornstein Uhlenbeck commodities mean reversion futures python,source_cards/repositories/repo006.md,,
REPO007,repository,chrism2671/PyTrendFollow,medium,seed,seed,https://github.com/chrism2671/PyTrendFollow,Systematic trend-following on futures.,futures trend following python commodities,source_cards/repositories/repo007.md,,
REPO008,repository,quantiacs/strategy-futures-trend-following,medium,seed,seed,https://github.com/quantiacs/strategy-futures-trend-following,Reproducible futures trend-following strategy.,futures trend following strategy python Quantiacs,source_cards/repositories/repo008.md,,
REPO009,repository,amstrdm/mlm-trend-following,medium,seed,seed,https://github.com/amstrdm/mlm-trend-following,Mount Lucas style futures trend-following strategy.,Mount Lucas futures trend following moving average volatility IBKR,source_cards/repositories/repo009.md,,
REPO010,repository,AsyncAlgoTrading/aat,low_medium,seed,seed,https://github.com/AsyncAlgoTrading/aat,Event-driven backtesting and live trading framework.,event driven futures backtesting python framework,source_cards/repositories/repo010.md,,
REPO011,repository,cchallu/nbeatsx,medium,seed,seed,https://github.com/cchallu/nbeatsx,NBEATSx model with exogenous variables.,NBEATSx exogenous variables time series forecasting,source_cards/repositories/repo011.md,,
clycites-clycites-experiment,repository,ClyCites/ClyCites-Experiment,,discovered,discovered,https://github.com/ClyCites/ClyCites-Experiment,,crop price prediction weather machine learning,source_cards/repositories/clycites-clycites-experiment.md,,
bideeen-building-a-trading-strategy-with-python,repository,bideeen/Building-A-Trading-Strategy-With-Python,,discovered,discovered,https://github.com/bideeen/Building-A-Trading-Strategy-With-Python,,futures trend following python,source_cards/repositories/bideeen-building-a-trading-strategy-with-python.md,,
prathik-16-smart-farmer-assistant,repository,Prathik-16/Smart-Farmer-Assistant,,discovered,discovered,https://github.com/Prathik-16/Smart-Farmer-Assistant,,crop price prediction weather machine learning,source_cards/repositories/prathik-16-smart-farmer-assistant.md,,
sakshib71-farmassit-ml,repository,SakshiB71/Farmassit_ml,,discovered,discovered,https://github.com/SakshiB71/Farmassit_ml,,crop price prediction weather machine learning,source_cards/repositories/sakshib71-farmassit-ml.md,,
josephchamakal-cftc-web-scraper,repository,josephchamakal/CFTC-web-scraper,,discovered,discovered,https://github.com/josephchamakal/CFTC-web-scraper,,CFTC COT futures python,source_cards/repositories/josephchamakal-cftc-web-scraper.md,,
mikolajgolowski-financial-cot-data-fetcher,repository,MikolajGolowski/financial-cot-data-fetcher,,discovered,discovered,https://github.com/MikolajGolowski/financial-cot-data-fetcher,,CFTC COT futures python,source_cards/repositories/mikolajgolowski-financial-cot-data-fetcher.md,,
vishalskyfall-crop-price-yield-prediction,repository,vishalskyfall/Crop_PRICE-YIELD_Prediction,,discovered,discovered,https://github.com/vishalskyfall/Crop_PRICE-YIELD_Prediction,,crop price prediction weather machine learning,source_cards/repositories/vishalskyfall-crop-price-yield-prediction.md,,
engineerinvestor-systematic-trend-following-with-managed-futures,repository,engineerinvestor/systematic-trend-following-with-managed-futures,,discovered,discovered,https://github.com/engineerinvestor/systematic-trend-following-with-managed-futures,,futures trend following python,source_cards/repositories/engineerinvestor-systematic-trend-following-with-managed-futures.md,,
bistonn-tg-preco-milho,repository,BistonN/tg-preco-milho,,discovered,discovered,https://github.com/BistonN/tg-preco-milho,,corn futures prediction machine learning,source_cards/repositories/bistonn-tg-preco-milho.md,,
alekhya-puli14-agricultural-commodity-futures-price-prediction,repository,alekhya-puli14/Agricultural-Commodity-Futures-Price-Prediction,,discovered,discovered,https://github.com/alekhya-puli14/Agricultural-Commodity-Futures-Price-Prediction,,agricultural commodity price prediction futures,source_cards/repositories/alekhya-puli14-agricultural-commodity-futures-price-prediction.md,,
capitalfear-fredfacts,repository,capitalfear/Fredfacts,,discovered,discovered,https://github.com/capitalfear/Fredfacts,,CFTC COT futures python,source_cards/repositories/capitalfear-fredfacts.md,,
sirfrancisg-commodity-seasonality-backtest,repository,SirFrancisG/Commodity-Seasonality-Backtest,,discovered,discovered,https://github.com/SirFrancisG/Commodity-Seasonality-Backtest,,commodity futures backtesting python,source_cards/repositories/sirfrancisg-commodity-seasonality-backtest.md,,
tauadjm-futuresai,repository,tauadjm/FuturesAI,,discovered,discovered,https://github.com/tauadjm/FuturesAI,,commodity futures backtesting python,source_cards/repositories/tauadjm-futuresai.md,,
dinaludagedara-srigrow,repository,dinalUdagedara/SriGrow,,discovered,discovered,https://github.com/dinalUdagedara/SriGrow,,crop price prediction weather machine learning,source_cards/repositories/dinaludagedara-srigrow.md,,
fdfoneill-wasdeparser,repository,fdfoneill/wasdeparser,,curated_added_2026-06-11,discovered,https://github.com/fdfoneill/wasdeparser,,USDA WASDE corn futures python parser,source_cards/repositories/fdfoneill-wasdeparser.md,,
cstainbrook-corn-futures-capstone,repository,cstainbrook/Corn-Futures-Capstone,,curated_added_2026-06-11,discovered,https://github.com/cstainbrook/Corn-Futures-Capstone,,corn futures weather hedging prediction capstone,source_cards/repositories/cstainbrook-corn-futures-capstone.md,,
seemakanuri-corn-yield-and-futures-price-prediction,repository,SeemaKanuri/Corn-Yield-and-Futures-Price-Prediction,,curated_added_2026-06-11,discovered,https://github.com/SeemaKanuri/Corn-Yield-and-Futures-Price-Prediction,,corn futures yield weather planting progress stocks prediction,source_cards/repositories/seemakanuri-corn-yield-and-futures-price-prediction.md,,
helios-sc-helios-corn-futures-climate-risk-challenge,repository,helios-sc/helios-corn-futures-climate-risk-challenge,,curated_added_2026-06-11,discovered,https://github.com/helios-sc/helios-corn-futures-climate-risk-challenge,,corn futures climate risk challenge weather forecast archive,source_cards/repositories/helios-sc-helios-corn-futures-climate-risk-challenge.md,,
facundoallia-calendar-spread-time-series-forecasting,repository,facundoallia/calendar-spread-time-series-forecasting,,curated_added_2026-06-11,discovered,https://github.com/facundoallia/calendar-spread-time-series-forecasting,,corn calendar spread futures time series forecasting,source_cards/repositories/facundoallia-calendar-spread-time-series-forecasting.md,,
wur-ai-agml-cy-bench,repository,WUR-AI/AgML-CY-Bench,,curated_added_2026-06-11,discovered,https://github.com/WUR-AI/AgML-CY-Bench,,crop yield benchmark weather remote sensing public data,source_cards/repositories/wur-ai-agml-cy-bench.md,,
ccaspar-weather-commodities,repository,ccaspar/weather_commodities,,curated_added_2026-06-11,discovered,https://github.com/ccaspar/weather_commodities,,weather effect commodity prices corn wheat python,source_cards/repositories/ccaspar-weather-commodities.md,,
quantiacs-strategy-futures-commodity,repository,quantiacs/strategy-futures-commodity,,curated_added_2026-06-11,discovered,https://github.com/quantiacs/strategy-futures-commodity,,commodity futures strategy IMF data python,source_cards/repositories/quantiacs-strategy-futures-commodity.md,,
tezamo-fpma,repository,tezamo/FPMA,,curated_added_2026-06-11,discovered,https://github.com/tezamo/FPMA,,FAO GIEWS FPMA food commodity prices API python,source_cards/repositories/tezamo-fpma.md,,
prochalo-commodity-regime-bench,repository,prochalo/commodity-regime-bench,,curated_added_2026-06-11,discovered,https://github.com/prochalo/commodity-regime-bench,,agricultural commodity regime switching benchmark walk-forward,source_cards/repositories/prochalo-commodity-regime-bench.md,,
PAPER001,paper,"Sriramjee Singh - Weather, soil and machine learning for CBOT corn futures prices",very_high,seed,seed,,"Weather, soil and machine learning for CBOT corn futures.",Sriramjee Singh weather soil machine learning CBOT corn futures prices,source_cards/papers/paper001.md,,
PAPER002,paper,Machine learning to predict grains futures prices,very_high,seed,seed,,LSTM-RNN versus classical econometric models on grain futures.,Brignoli Varacca Gardebroek Sckokai machine learning grains futures prices 2024,source_cards/papers/paper002.md,,
PAPER003,paper,The Impact of Public Information on Commodity Market Performance,very_high,seed,seed,,Response of corn futures to USDA corn production forecasts.,USDA ERS public information corn futures production forecasts 2021,source_cards/papers/paper003.md,,
PAPER004,paper,Impact of WASDE and NASS reports on corn and soybean futures,very_high,seed,seed,,USDA announcement effects on futures prices and volatility.,Isengildina-Massa Irwin Good Gomez WASDE NASS corn soybean futures 2008,source_cards/papers/paper004.md,,
PAPER005,paper,The Value of USDA Announcements in the Electronically Traded Corn Futures Market,very_high,seed,seed,,Economic value of USDA surprises in electronic corn futures.,Huang Serra Garcia value USDA announcements electronically traded corn futures 2021,source_cards/papers/paper005.md,,
PAPER006,paper,Does public information facilitate price consensus?,high,seed,seed,,USDA announcement effects using implied and realized volatility.,Bunek Janzen public information price consensus USDA realized volatility 2024,source_cards/papers/paper006.md,,
PAPER007,paper,The weather premium in the U.S. corn market,very_high,seed,seed,,Weather premium in U.S. corn futures.,Li Hayes Jacobs weather premium US corn market 2018 Journal of Futures Markets,source_cards/papers/paper007.md,,
PAPER008,paper,The Weather Risk Premium in New-Crop Corn Futures Prices,very_high,seed,seed,,Weather risk premium in December new-crop corn futures.,Janzen weather risk premium new crop corn futures prices farmdoc 2021,source_cards/papers/paper008.md,,
PAPER009,paper,Forecasting Volatility of Returns for Corn Using GARCH Models,high,seed,seed,,"GARCH, TGARCH and EGARCH volatility forecasts for corn.",Musunuru Yu Larson forecasting volatility returns corn GARCH TGARCH EGARCH,source_cards/papers/paper009.md,,
