source_id,source_type,source_name,review_status,priority,reason,recommended_action,claude_order
REPO003,repository,mindymallory/PriceAnalysis,KEEP_CORE,very_high,Reference centrale basis/ethanol/DDG/hedge/stockage pour le mais; clone sparse recupere les chapitres utiles,Lire en premier; fiche source; alimente EXT004/EXT005/EXT013,1
PAPER018,paper,Price Analysis: A Fundamental Approach to the Study of Commodity Prices,KEEP_CORE,very_high,Livre Price Analysis (compagnon de REPO003); cadre fondamental complet,Lire chapitres cles avec REPO003,2
PAPER027,paper,Evaluating the Forecasting Performance of Commodity Futures Prices,KEEP_CORE,very_high,"Futures vs random walk; discipline de benchmark, base EXT025",Lire tres tot; tous les EXT s y comparent,3
REPO004,repository,mindymallory/RollFutures,KEEP_CORE,very_high,Methode de roll volume-based; le roll biaise toute serie continue,Fiche source; base directe de EXT006; verifier provenance des 1180 CSV avant tout usage data,4
PAPER015,paper,Measuring Price Discovery between Nearby and Deferred Contracts,KEEP_CORE,very_high,Price discovery nearby vs deferred; base directe EXT005,Fiche source tot; cle pour structure de courbe,5
measuring-price-discovery-between-nearby-and-deferred-contracts-in-storable-and-nonstorable-commodity-futures-markets,paper,Measuring price discovery between nearby and deferred contracts in storable and nonstorable commodity futures markets,KEEP_CORE,very_high,Doublon du seed PAPER015,Fusionner avec PAPER015; une seule fiche,6
facundoallia-calendar-spread-time-series-forecasting,repository,facundoallia/calendar-spread-time-series-forecasting,KEEP_CORE,high,Forecast de calendar spreads avec application mais; base de EXT034,Fiche source; croiser avec EXT005,7
fdfoneill-wasdeparser,repository,fdfoneill/wasdeparser,KEEP_CORE,very_high,Parseur WASDE avec acces aux donnees datees de publication; fondation de EXT026,Fiche source tot; valider que les vintages sont date-publication-safe,8
PAPER003,paper,The Impact of Public Information on Commodity Market Performance,KEEP_CORE,very_high,Reponse du corn aux previsions de production USDA; base EXT007,Fiche source; extraire fenetres d annonce,9
PAPER004,paper,Impact of WASDE and NASS reports on corn and soybean futures,KEEP_CORE,very_high,Effets WASDE/NASS sur prix et volatilite corn/soy,Fiche source; croiser avec EXT007/EXT032,10
PAPER005,paper,The Value of USDA Announcements in the Electronically Traded Corn Futures Market,KEEP_CORE,very_high,Valeur economique des surprises USDA en corn electronique; base EXT008,Fiche source; definir proxy de surprise sans valeurs revisees,11
what-do-we-know-about-the-accuracy-and-impact-of-usda-reports-relevant-to-the-corn-market,paper,What Do We Know About the Accuracy and Impact of USDA Reports Relevant to the Corn Market?,KEEP_CORE,high,Synthese precision/impact des rapports USDA corn; base EXT032,Fiche source; filtre des familles de rapports,12
when-does-usda-information-have-the-most-impact-on-crop-and-livestock-markets,paper,When does USDA information have the most impact on crop and livestock markets?,KEEP_CORE,high,Timing d impact maximal de l info USDA,Fiche source; support EXT032,13
do-corn-options-update-volatility-expectations-in-the-wake-of-usda-reports,paper,Do Corn Options Update Volatility Expectations in the Wake of USDA Reports?,KEEP_CORE,high,Options corn et attentes de vol autour des rapports USDA,Fiche source; support EXT007/EXT009,14
exploring-calendar-effects-the-impact-of-wasde-releases-on-grain-futures-market-volatility,paper,Exploring calendar effects: the impact of WASDE releases on grain futures market volatility,KEEP_CORE,high,Effets calendaire WASDE sur vol des grains,Fiche source; support EXT007/EXT032,15
PAPER006,paper,Does public information facilitate price consensus?,KEEP_CORE,high,Consensus de prix via vol implicite/realisee autour USDA,Fiche source; support EXT007,16
the-reaction-of-corn-futures-markets-to-us-and-brazilian-crop-reports,paper,The Reaction of Corn Futures Markets to US and Brazilian Crop Reports,KEEP_CORE,high,Reaction du corn aux rapports US et bresiliens; etend EXT007/EXT032,Fiche source; support events,17
the-value-of-usda-crop-progress-and-condition-information,paper,The Value of USDA Crop Progress and Condition Information,KEEP_CORE,very_high,Lehecka 2014 (score 0.92): valeur des crop progress/condition; base directe EXT027,Fiche source tot; timing lundi + climatologie train-only,18
simulating-corn-futures-market-reaction-and-prices-under-weekly-usda-crop-progress-and-condition-reports,paper,Simulating corn futures market reaction and prices under weekly USDA crop progress and condition reports,KEEP_CORE,high,Simulation reaction corn aux crop progress hebdo; complement EXT027,Fiche source avec Lehecka,19
weather-and-corn-crop-condition-reports-are-not-enough,paper,Weather and corn: Crop condition reports are not enough,KEEP_CORE,high,Les crop condition reports ne suffisent pas vs meteo; nuance importante pour EXT019/EXT027,Fiche source avec Lehecka,20
PAPER007,paper,The weather premium in the U.S. corn market,KEEP_CORE,very_high,Prime meteo dans le corn US; fondement economique de EXT018,Fiche source tot,21
the-weather-premium-in-the-u-s-corn-market,paper,The weather premium in the U.S. corn market,KEEP_CORE,very_high,Doublon du seed PAPER007,Fusionner avec PAPER007; une seule fiche,22
PAPER008,paper,The Weather Risk Premium in New-Crop Corn Futures Prices,KEEP_CORE,very_high,Prime de risque meteo new-crop decembre; base directe EXT018,Fiche source; attention au mapping de contrat,23
PAPER001,paper,"Sriramjee Singh - Weather, soil and machine learning for CBOT corn futures prices",KEEP_CORE,very_high,"Meteo+sol+ML sur CBOT corn, source des EXT001/EXT002",Fiche source; extraire fenetres agronomiques et lags,24
estimating-the-impact-of-weather-on-cbot-corn-futures-prices-using-machine-learning,paper,Estimating the impact of weather on CBOT corn futures prices using machine learning,KEEP_CORE,very_high,Doublon du seed PAPER001 (Singh),Fusionner avec PAPER001 dans le catalogue; une seule fiche,25
