id,source_id,source_type,source_name,idea_name,description,data_required,feature_family,target_horizon,expected_benefit,difficulty,leakage_risk,implementation_status,experiment_id,priority,notes,final_verdict,final_reason,integrate_in_main_study,step7_action
EXT001_weather_crop_windows,PAPER001,paper,Singh weather soil ML,weather_crop_windows,Build agronomic weather windows by crop stage,Historical weather plus crop calendar,weather,H20-H90,Better seasonal stress capture,medium,none,done_step4_REJECT,EXT001,very_high,Separate realized weather from forecast weather || Etape4 2026-06-13: REJECT; dRMSE +8.5% (pire); dDA +0.017 H5 (negligeable); next: Abandon comme predicteur de retour; meteo realisee = contexte seulement (confirme V45),REJECT,Meteo realisee price-in par anticipation (confirme V45),-,non (contexte seulement)
EXT002_weather_lags_and_anomalies,PAPER001,paper,Singh weather soil ML,weather_lags_and_anomalies,Create lagged anomalies and cumulative stress windows,Historical weather normals,weather,H20-H90,Improve weather timing,medium,none,done_step4_REJECT,EXT002,very_high,Use expanding or train-only climatology || Etape4 2026-06-13: REJECT; dRMSE +7% (pire); dDA +0.029 H40 mais instable/R2 negatif; next: Abandon direction; lags/anomalies realises non exploitables,REJECT,Lags/anomalies realises non exploitables,-,non
EXT003_cot_features,REPO005,repository,NDelventhal/cot_reports,cot_features,Extend COT report types and trader categories,CFTC COT with release dates,positioning,H20-H90,Better positioning context,medium,none (calendrier vendredi applique),done_step4_REJECT,EXT003,very_high,"Vendredi publication obligatoire (calendrier a construire, pas fourni par cot_reports). V18 NO_GO porte sur le net total Legacy: tester les categories fines Disaggregated (MM net, flux hebdo, extremes p90/p10, concentration) non encore falsifiees. || Etape4 2026-06-13: REJECT; degrade RMSE et DA a tous horizons; next: Dossier COT clos honnetement (MM disaggregated inclus); aucun signal de second ordre",REJECT,Aucun signal de second ordre dans MM disaggregated; dossier COT clos,-,non
EXT004_ethanol_ddg_crush_spread,PAPER017,paper,Mallory Hayes Irwin storage ethanol,ethanol_ddg_crush_spread,Test ethanol and DDG crush-spread economics,Ethanol DDG corn gas prices,ethanol,H20-H90,Explain corn demand pressure,medium,none,done_step4_REJECT,EXT004,very_high,"Respecter lags EIA hebdo/USDA. Cible H60+ (relation de long terme, Mallory-Hayes-Irwin): contexte/regime, pas signal court. DDG optionnel via EXT030 (data-gated). || Etape4 2026-06-13: REJECT; proxys energie/demande degradent RMSE+DA; next: Pas de prix ethanol ni DDG -> vraie marge crush non constructible; sourcer prix ethanol CME/EIA + DDG AMS",REJECT,Sans prix ethanol/DDG pas de vraie marge crush; proxys inutiles,Sourcer prix ethanol CME/EIA + DDG AMS,non
EXT005_futures_curve_spreads,PAPER015,paper,Hu Mallory Serra Garcia nearby deferred,futures_curve_spreads,Build nearby-deferred spreads and carry variables,Contract-level futures curve,futures_curve,H20-H90,Improve storage and roll context,high,-,done_step4_DATA_BLOCKED,EXT005,very_high,"Needs reliable contract data (depend EXT006). Enrichi par EXT039 (distance au full carry, PriceAnalysis ch9 + PATENT007 cout variable). || Etape4 2026-06-13: DATA_BLOCKED; -; next: Pas de contrats CBOT par maturite (front-only); courbe EMA ~2 semaines. Sourcer contrats + accumuler courbe >=250j",DATA_BLOCKED,Pas de courbe profonde; EMA accumulee ~2 semaines,Sourcer contrats CBOT par maturite + courbe >=250j,non (bloque)
EXT006_roll_method_volume_based,REPO004,repository,mindymallory/RollFutures,roll_method_volume_based,Compare current continuous contract to volume-based roll,Contract OHLCV and volume,futures_curve,all,Reduce roll artifacts,medium,medium,done_step3,EXT006,very_high,"FAIT 2026-06-12: verdict IMPROVE. EMA front raw: 69 rolls, saut moyen 10.2 EUR/t (6.6x normal, p<1e-6), 27/68 flips momentum20; adjusted reduit a 2.5x; CBOT vendeur: aucun artefact detecte. Reconstruction historique volume-based DATA_BLOCKED (front-only 2010-2024); prototype causal 2025+ OK (45% jours divergents, 6.55 EUR/t). Regle: EXT futurs utilisent adjusted_price ou excluent les 69 dates de roll.",IMPROVE,Hygiene de serie protege tous les resultats; reconstruction historique bloquee,Ticket projet: auditer la serie alimentant basis_z,oui (regle: features EMA sur adjusted ou hors rolls)
EXT007_wasde_release_features,PAPER003,report,USDA ERS public information,wasde_release_features,Create release-day and post-release windows,WASDE release calendar,events,H1-H20,Measure announcement dynamics,medium,none,done_step4_IMPROVE,EXT007,very_high,"Utiliser timestamp reel + elargir le calendrier a Grain Stocks (janvier) et Prospective Plantings/Acreage (EXT032/NCGA: souvent plus market-moving que WASDE moyen). En quotidien: effet = vol et fenetres, pas day-trade de l annonce (Huang-Serra-Garcia). || Etape4 2026-06-13: IMPROVE; dDA +6.1 pts H20 (stable 2 moities); RMSE pire (niveaux non-stationnaires); next: Re-encoder stationnaire (stocks-to-use z) + cible DIRECTION; garder dummies calendrier pour veto WASDE V9",IMPROVE,Etat de bilan lent = signal directionnel reel mais modeste; DM non significatif,A utiliser en DIRECTION jamais en RMSE,oui ( re-encode stationnaire: s2u_z)
EXT008_wasde_surprise_proxy,PAPER005,paper,Huang Serra Garcia USDA announcements,wasde_surprise_proxy,Build surprise proxies for production stocks and exports,WASDE vintage or proxy data,events,H1-H40,Add economic surprise signal,high,none,done_step4_REJECT,EXT008,very_high,"No revised values before publication. DEPEND de EXT026 (vintages). Proxy sans vintages: publication M - publication M-1 meme campagne. DEBLOQUE 2026-06-12: wasde_vintage_dataset.csv fournit les variations M-M-1 datees publication. || Etape4 2026-06-13: REJECT; dDA -16 pts; RMSE pire (revisions M-M-1, sans consensus); next: Surprise WASDE non captable en quotidien (Huang-Serra-Garcia); sourcer consensus analystes pour rouvrir",REJECT,Surprise sans consensus analystes non captable en quotidien (Huang-Serra-Garcia),Sourcer consensus analystes pour rouvrir,non
EXT009_garch_egarch_volatility,PAPER009,paper,Musunuru Yu Larson GARCH,garch_egarch_volatility,Benchmark GARCH TGARCH and EGARCH volatility,Daily returns,volatility,H5-H40,Volatility risk forecast,medium,low,done_step5_KEEP,EXT009,high,"Train parameters only on past windows || Etape5 2026-06-13: KEEP; EGARCH meilleur GARCH (~HAR); filtre vol neutralise le regime ou le signal s'inverse (PnL<0); next: Gate de risque du score de vente; HAR pour simplicite, EGARCH si asymetrie voulue",KEEP,Gate de risque actionnable; vol se prevoit (contrairement au prix),"EGARCH si asymetrie voulue, sinon HAR",oui (gate de risque du score de vente)
EXT010_har_realized_volatility,PAPER037,paper,Copper volatility HAR,har_realized_volatility,Test HAR realized-volatility benchmark,Daily or intraday returns,volatility,H5-H40,Strong simple volatility baseline,medium,low,done_step5_KEEP,EXT010,medium,Daily realized proxy if intraday absent || Etape5 2026-06-13: KEEP; HAR bat RW-vol et rolling20 sur RMSE/MAE/QLIKE a tous les horizons; next: Benchmark de volatilite principal; brique des gates de risque,KEEP,Benchmark vol principal; simple et robuste sans tuning,"La volatilite SE prevoit, le prix non",oui (benchmark vol principal)
EXT011_trend_following_benchmark,REPO007,repository,PyTrendFollow,trend_following_benchmark,Implement clean trend-following baseline,Continuous futures prices,technical,H20-H120,Benchmark against ML,low,low,done_step5_REJECT,EXT011,medium,"Use train-only costs and no holdout || Etape5 2026-06-13: REJECT; trend-following echoue sur le mais (Sharpe<=0.20, drawdowns enormes); next: Negative control: l'edge EXT024 n'est PAS du momentum; abandonner trend comme predicteur",REJECT,Le mais ne tend pas; negative control: l'edge EXT024 n'est PAS du momentum,"Plancher technique de reference, abandonne comme predicteur",non (negative control)
EXT012_ou_mean_reversion_benchmark,REPO006,repository,Ornstein-Uhlenbeck,ou_mean_reversion_benchmark,Fit OU mean-reversion on basis/spreads,Basis or spreads,mean_reversion,H20-H90,Explain premium reversion,medium,medium,done_step5_DATA_BLOCKED,EXT012,medium,"Estimate half-life only on past data || Etape5 2026-06-13: DATA_BLOCKED; OU vise basis/spread stationnaire, or EXT013/EXT005 DATA_BLOCKED; pas de simulation artificielle; next: Rouvrir apres acquisition eurusd quotidien (+ spot UE / contrats CBOT)",DATA_BLOCKED,Pas de basis quotidien; aucune simulation artificielle,Rouvrir apres acquisition eurusd quotidien,non (bloque)
EXT013_basis_and_spot_futures_transmission,PAPER016,paper,Penone Giampietri Trestini EU transmission,basis_and_spot_futures_transmission,Test cointegration and VECM transmission,EMA CBOT spot EU prices,basis,H20-H90,Explain Europe transmission,high,-,done_step4_DATA_BLOCKED,EXT013,high,"Volet 1 (CBOT<->EMA, vitesses d ajustement VECM, formalise V21) faisable des maintenant. Volet 2 (spot UE) data-blocked: pistes FranceAgriMer/Bologne (Penone et al. prouvent que la donnee existe). || Etape4 2026-06-13: DATA_BLOCKED; -; next: Pas d'EUR/USD quotidien historique ni spot UE quotidien. Sourcer FRED DEXUSEU/ECB + FranceAgriMer",DATA_BLOCKED,Basis EUR/t non reconstructible sans eurusd quotidien,Sourcer FRED DEXUSEU/ECB + FranceAgriMer,non (bloque)
EXT014_bayesian_model_averaging,PAPER031,paper,Drachal Bayesian combinations,bayesian_model_averaging,Test DMA/BMA model combination,OOF model predictions,model_combination,H20-H90,Handle model uncertainty,high,medium,done_step5_IMPROVE,EXT014,high,Weights must be learned walk-forward || Etape5 2026-06-13: IMPROVE; gain de stabilite/robustesse mais ne bat pas le meilleur modele seul; rw_baserate neutralise; next: Filet de securite si regime change; preferer choix parcimonieux par horizon,IMPROVE,Gain de robustesse seulement; ne depasse pas le meilleur modele seul,Preferer choix parcimonieux par horizon,partiel (filet de securite)
EXT015_shap_feature_selection,PAPER032,paper,Interpretable combination forecasting,shap_feature_selection,Compare MI/SHAP selection under OOF protocol,Feature matrix and OOF splits,feature_selection,H20-H90,Reduce noisy features,medium,high,done_step5_KEEP,EXT015,high,Selection must happen inside each train split || Etape5 2026-06-13: KEEP; s2u_z/s2u_pctile + cond_anom/dev5y/poor_vp stables (importance>0 16/16 ans); parcimonie>RF; next: Garder ces variables pour etape 6; jeter dummies bilan_tight/loose et momentum court,KEEP,Valide que s2u_z/pctile + cond_anom/dev5y/poor_vp ressortent train-only stablement,"Jeter dummies bilan_tight/loose, momentum court",oui (liste de variables retenue)
EXT016_nbeatsx_exogenous_model,REPO011,repository,cchallu/nbeatsx,nbeatsx_exogenous_model,Prototype NBEATSx with exogenous variables,Features plus targets,deep_learning,H20-H90,Nonlinear exogenous benchmark,high,medium,done_step5_NOT_WORTH_YET,EXT016,medium,"Only after simple baselines. Protocole comparatif type Brignoli + test Giacomini-White; budget hyperopt minimal (petit echantillon quotidien). || Etape5 2026-06-13: NOT_WORTH_YET; non lance: torch absent, trop peu d'obs independantes H90, complexite deja montree nuisible; next: Rouvrir seulement avec donnees plus riches (intraday/options/courbe) + regularisation forte",NOT_WORTH_YET,DL non justifie vu l'edge faible; sur-apprentissage demontre (RF,non, stacking)
EXT017_market_regime_detection,PAPER035,paper,Adaptive market efficiency,market_regime_detection,Test regime stability and adaptive efficiency,Returns features regimes,regime,H20-H90,Know when signals decay,medium,medium,done_step5_IMPROVE,EXT017,medium,"Avoid selecting regimes on full sample || Etape5 2026-06-13: IMPROVE; signal fort en uptrend/low-vol/bilan extreme, nul en neutre/normal/good-crop; next: Utiliser regimes comme conditionnement du score de confiance; valider filtre en forward; pas de modele par regime",IMPROVE,Explique QUAND le signal marche; conditionnement de confiance, pas modele par regime),oui (conditionnement du score
