experiment_id,experiment_name,main_sources,hypothesis,data_required,features_to_create,model_or_benchmark,target_horizons,evaluation_protocol,leakage_constraints,expected_benefit,difficulty,priority,status,notes,verdict,next_action,data_status,leakage_risk_result,best_metric_gain,best_horizon,direction_accuracy_change,volatility_metric_gain,overfitting_risk,final_verdict,final_reason,integrate_in_main_study,step7_action
EXT025,random_walk_and_futures_price_benchmark,PAPER027 Reeve-Vigfusson,Aucun modele ne vaut d etre lu sans le tableau de reference des baselines triviales,"CBOT continu, EMA officiel (V26), basis officiel",Aucune (baselines pures),"RW, RW+drift saisonnier, futures-as-forecast",H5/H20/H40/H90,"RMSE relatif + DA + Diebold-Mariano, par horizon et par cible (CBOT, EMA, basis), 2010-2023, walk-forward",Aucun parametre appris; drift saisonnier estime en expandant,Tableau de reference cite par tous les EXT,low,P0_immediate,done,Execute 2026-06-12. RW imbattable par les baselines naives (0/36 DM p<0.10). Tableau de reference en place.,KEEP,Citer metrics_ext025.csv dans tout EXT futur; ajouter le basis quand une serie eurusd interne sera identifiee; futures-as-forecast quand courbe accumulee suffisante.,,,,,,,,KEEP,La random walk est la baseline de prix la plus dure; reference de tout le programme,Tableau metrics_ext025.csv = reference RMSE pour tout EXT,oui (deja le benchmark implicite)
EXT006,roll_method_volume_based,REPO004 RollFutures + PriceAnalysis ch22,La methode de roll change les retours pres des dates de roll; nos resultats V13-V17 doivent etre robustes au choix de roll,Contrats CBOT individuels OHLCV+OI (internes V24),"Series nearby volume-causal (J-1), DTE, OI; flags jours-de-roll",Comparaison de series + momentum naif comme detecteur d artefacts,tous,"Diff de retours autour des rolls, autocorrelation, PnL fantome, sensibilite de basis_z par mois",Roll decide sur volume/OI de J-1 uniquement,Hygiene de donnees protegeant tous les autres resultats,medium,P0_immediate,done,"Execute 2026-06-12. Artefacts EMA raw quantifies (10.2 EUR/t/roll, 6.6x, 27/68 flips momentum); adjusted disponible et nettement meilleur; CBOT vendeur sans artefact detecte; reconstruction historique volume-based DATA_BLOCKED (front-only).",IMPROVE,Regle EXT: features de retour EMA sur adjusted_price ou hors jours de roll (roll_dates.csv). Ticket projet separe propose: auditer la serie qui alimente basis_z en amont. Continuer la collecte multi-contrats pour le front volume-causal forward.,,,,,,,,IMPROVE,Hygiene de serie protege tous les resultats; reconstruction historique bloquee,Ticket projet: auditer la serie alimentant basis_z,oui (regle: features EMA sur adjusted ou hors rolls)
EXT026,wasde_parser_vintage_pipeline,fdfoneill/wasdeparser + PAPER003,"Un pipeline WASDE vintage date-publication est constructible et fiable (infra, pas de signal)",Archives WASDE USDA 2010-2026 + calendrier officiel,"Table (rapport, variable, valeur publiee, date publication); surprises M - M-1",N/A (infra),,Verification historique: 3 rapports anciens compares aux valeurs publiees a l epoque (pas revisees),Valeurs telles que publiees uniquement; jamais de serie revisee,Debloque EXT007/EXT008/EXT024/EXT038/EXT043,medium,P0_immediate,done,Execute 2026-06-12. Vintage 207 rapports valide (24/24). FUITE ~8j detectee dans la serie quotidienne interne (143/160 rapports) - les features wasde_* internes etaient en avance.,KEEP,Ticket projet separe: recaler l expansion quotidienne interne sur publication_date+1BD. EXT007/EXT008 utilisent wasde_vintage_dataset.csv exclusivement. Completer les 47 dates fallback via release-dates JSON USDA.,,,,,,,,KEEP,Source WASDE anti-fuite unique; fuite interne documentee,Ticket projet: recaler expansion interne sur publication+1BD,oui (source WASDE des features)
EXT007,wasde_release_features,PAPER003 + PAPER004 + PAPER005 + NCGA 2022 (EXT032),"Les jours de rapport USDA (calendrier elargi: WASDE, Grain Stocks, Prospective Plantings/Acreage) structurent la vol et les fenetres de mouvement CBOT; en quotidien l effet exploitable est en fenetres post-rapport, pas en day-trade",Calendrier USDA officiel + CBOT quotidien,"Dummies jour-de-rapport par famille x saison; fenetres [J,J+1], [J+1,J+10]; interaction aout-nov",Event-study vs jours normaux; baseline EXT025,H1-H20,Vol realisee event vs non-event (replication PAPER004); drift directionnel post-rapport teste vs RW avec DM,Calendrier connu a l avance (zero fuite); aucune valeur de rapport revisee,Module le veto WASDE V9 par famille/saison + raffine V129/V143,medium,P1_high,done_step4,"EXT032 (hierarchie NCGA) sert de filtre integre, pas d experience separee | Etape 4 (2026-06-13): IMPROVE. dDA +6.1 pts H20 (stable 2 moities); RMSE pire (niveaux non-stationnaires)",IMPROVE,Re-encoder stationnaire (stocks-to-use z) + cible DIRECTION; garder dummies calendrier pour veto WASDE V9,DATA_READY,none,dDA +6.1 pts H20 (stable 2 moities); RMSE pire (niveaux non-stationnaires),H20,,,,IMPROVE,Etat de bilan lent = signal directionnel reel mais modeste; DM non significatif,A utiliser en DIRECTION jamais en RMSE,oui ( re-encode stationnaire: s2u_z)
EXT027,crop_progress_condition_surprises,Lehecka 2014 + Tsiboe et al. 2023 + Taylor 2010,"Les surprises hebdo de condition corn (lundi 16h ET) bougent le CBOT, surtout juillet-aout, asymetriquement (deteriorations > ameliorations)","NASS Crop Progress/Condition hebdo (public, API QuickStats) + CBOT","Surprise = Delta(good+excellent) - attente climatologique train-only, ponderee production par Etat; cumul 3 semaines",Event-study hebdo + logistique simple vs RW,H5-H20 (saison mai-octobre),"OOF par annee (LOYO), DM vs RW, fenetre mardi-ouverture comme reference de timing",Publication lundi 16h ET -> features utilisables J+1; climatologie expandante,Meilleure donnee de saison de croissance non exploitee en interne,medium,P1_high,proposed,Absorbe le volet surprise de EXT019; etage meteo->notation = EXT041 (test sans marche d abord),,Pret pour etape 4 (P1) sous reserve validation humaine du step3_results_summary.,,,,,,,,NOT_RUN,Propose mais non execute; donnee publique datee disponible,Absorbe partiellement par EXT019; voie la plus actionnable saison,a tester (etape future)
EXT018,weather_risk_premium_new_crop,PAPER007 Li-Hayes-Jacobs + PAPER008 Janzen,Le contrat decembre porte une prime meteo qui se dissipe du printemps a la recolte hors annees de stress (defini ex ante),Contrats CBOT Z par annee (internes V24) + WASDE mai (stocks de depart) + indice condition juillet,Trajectoire saisonniere du Z; classement ex ante des annees (stress/normal); conditionnement stocks-to-use,Stat descriptive (Janzen) puis test de moyenne; baseline EXT025,H40-H120 (mai->novembre),Replication descriptive 2000-2023 puis test conditionnel; PAS de strategie short systematique sans analyse des queues (2012),Annees classees avec l info disponible a l epoque; mapping contrat decembre strict,Parallele structurel avec notre prime EMA + EXT042 (correlation des deux primes),medium,P1_high,done_step4,"Profil pertes rares/enormes: l esperance positive ne suffit pas, documenter les queues | Etape 4 (2026-06-13): PARTIAL_DATA. descriptif CONFIRME (Janzen): biais baissier pre-recolte normal vs rally stress; predictif REJECT",PARTIAL_DATA,Pas de contrats Dec; stress connu seulement en contemporain -> non ex ante. Sourcer contrats Dec + brancher EXT033,PARTIAL_DATA,conditionnement de stress contemporain,descriptif CONFIRME (Janzen): biais baissier pre-recolte normal vs rally stress; predictif REJECT,-,,,,PARTIAL_DATA,Volet descriptif valide; predictif non exploitable ex ante (V45),Sourcer contrats Dec + brancher EXT033,non (descriptif seulement)
EXT005,futures_curve_spreads_and_carry,PAPER015 Hu et al. + PriceAnalysis ch9 + PATENT007,Le spread nearby-deferred normalise par le full carry (EXT039) contient l info de stockage et predit le retour du nearby,Contrats CBOT propres (depend EXT006) + taux courts + cout stockage ex ante,Spread z expandant; distance au full carry; lead-lag nearby/deferred roulant,Logistique simple vs RW et vs basis_z seul,H20-H60,"OOF purged embargo (cadre V9), LOYO, DM vs EXT025",Carry calcule avec taux/couts connus a J; pas de volume futur dans le roll,Quantifie V125 (NARROWING) en signal teste,high,P1_high,done_step4,Sequence: EXT006 d abord; cout de stockage variable (PATENT007) en phase 2 seulement | Etape 4 (2026-06-13): DATA_BLOCKED. -,DATA_BLOCKED,Pas de contrats CBOT par maturite (front-only); courbe EMA ~2 semaines. Sourcer contrats + accumuler courbe >=250j,DATA_BLOCKED,-,-,-,,,,DATA_BLOCKED,Pas de courbe profonde; EMA accumulee ~2 semaines,Sourcer contrats CBOT par maturite + courbe >=250j,non (bloque)
EXT003,cot_mm_features,REPO005 cot_reports + PAPER022,"Les extremes et flux du Managed Money (Disaggregated), dates publication vendredi, contiennent un signal H5-H40 non falsifie par V18 (qui n a teste que le net total)",COT Disaggregated corn + calendrier de publication CFTC (a construire),"MM net z expandant, flux hebdo, percentiles p90/p10, concentration top-4, CIT net; interaction uptrend",Logistique simple vs RW; comparaison explicite au resultat V18,H5-H40,OOF LOYO + DM; verdict ne contredit V18 que si gain robuste aux deux protocoles,Decalage publication vendredi PROUVE (test sur 3 semaines feriees); jamais la date mardi,Cloture honnete du dossier COT (ou decouverte de second ordre),medium,P2_medium,done_step4,Prerequis dur: calendrier de publication. Verifier d abord ce que V18 avait exactement utilise | Etape 4 (2026-06-13): REJECT. degrade RMSE et DA a tous horizons,REJECT,Dossier COT clos honnetement (MM disaggregated inclus); aucun signal de second ordre,DATA_READY (eval 2016+),none (calendrier vendredi applique),degrade RMSE et DA a tous horizons,-,,,,REJECT,Aucun signal de second ordre dans MM disaggregated; dossier COT clos,-,non
EXT004,ethanol_crush_margin,PAPER017 Mallory-Hayes-Irwin + Dahlgran-Gupta + Gertner,"La marge crush US (ethanol + DDG optionnel - corn - gaz) est une variable d etat lente de la demande corn, informative H60+ et pour le contexte ADVERSE; pas un signal court","Prix ethanol (CME/EIA hebdo), gaz naturel, corn; DDG si inventaire AMS positif (EXT030)",Marge crush z expandant; flag marge extreme basse (plancher de demande); ratio DDG/corn optionnel,Logistique H60-H120 vs RW; en contexte: interaction avec CBOT_SUPPORT_SCORE,H60-H252,"OOF LOYO, DM; attention au peu d observations independantes a H120+",Lags de publication EIA/AMS respectes; pas de prix DDG retrospectifs,Variable de demande structurelle absente de notre etude,medium,P2_medium,done_step4,V39-E3/E5: ethanol faible sur la prime EU -> cible CBOT (PROJET2) uniquement | Etape 4 (2026-06-13): REJECT. proxys energie/demande degradent RMSE+DA,REJECT,Pas de prix ethanol ni DDG -> vraie marge crush non constructible; sourcer prix ethanol CME/EIA + DDG AMS,PARTIAL_DATA,none,proxys energie/demande degradent RMSE+DA,-,,,,REJECT,Sans prix ethanol/DDG pas de vraie marge crush; proxys inutiles,Sourcer prix ethanol CME/EIA + DDG AMS,non
EXT024,supply_anomalies_benchmark,PAPER029 AGRICAF + PAPER011 Halonen + Carter-Rausser-Smith,Les anomalies d offre regionale WASDE (datees publication) forment le meilleur benchmark fondamental long horizon; et (test inedit) l anomalie UE+Ukraine explique le niveau de la prime EMA H60+,WASDE world vintages (depend EXT026),Anomalies production par region z expandant; stocks-to-use US (EXT038); part ethanol de l usage (regime lent),VAR parcimonieux + arbres regularises vs RW,H60-H252,"OOF LOYO mensuel, DM, regimes dates ex ante (2006 mandat, 2020, 2022)",Vintages publication uniquement; pas de relation stocks->prix melangee entre regimes,Benchmark fondamental + premier test offre-regionale sur la prime (EXT043),high,P2_medium,done_step5,"Significativite fragile (peu d obs independantes): conclusions descriptives acceptables | Etape 5 (2026-06-13): IMPROVE. DA dir H90 0.599->0.658, AUC 0.61->0.71, Brier mieux, stable 2 moities",IMPROVE,"Garder crop@H90 + wasde@H40 (1 signal/horizon, parcimonie); cible direction/score de vente, jamais RMSE",DATA_READY,none,"DA dir H90 0.599->0.658, AUC 0.61->0.71, Brier mieux, stable 2 moities",H90,+0.059 (crop@H90 vs marche); +0.035 (wasde@H40),-,low,IMPROVE,Signal directionnel le plus fort du programme; parcimonie (1 signal/horizon),"Corrige etape5bis (n 3961->3933); DM non signif, IC chevauche marche",oui (logit parcimonieux crop@H90 + wasde@H40)
